seed,fitness_name,n,budget,algo_name,algo_params,iterations,evaluations,p_mean,p_min,p_max
42,OneMax,100,100000,onePlusOneEA,{},968,1938,0.5,0.5,0.5
43,OneMax,100,100000,onePlusOneEA,{},978,1958,0.5,0.5,0.5
44,OneMax,100,100000,onePlusOneEA,{},931,1864,0.5,0.5,0.5
45,OneMax,100,100000,onePlusOneEA,{},1012,2026,0.5,0.5,0.5
46,OneMax,100,100000,onePlusOneEA,{},1450,2902,0.5,0.5,0.5
47,OneMax,100,100000,onePlusOneEA,{},626,1254,0.5,0.5,0.5
48,OneMax,100,100000,onePlusOneEA,{},826,1654,0.5,0.5,0.5
49,OneMax,100,100000,onePlusOneEA,{},936,1874,0.5,0.5,0.5
50,OneMax,100,100000,onePlusOneEA,{},670,1342,0.5,0.5,0.5
51,OneMax,100,100000,onePlusOneEA,{},982,1966,0.5,0.5,0.5
52,OneMax,100,100000,onePlusOneEA,{},1875,3752,0.5,0.5,0.5
53,OneMax,100,100000,onePlusOneEA,{},1173,2348,0.5,0.5,0.5
54,OneMax,100,100000,onePlusOneEA,{},1088,2178,0.5,0.5,0.5
55,OneMax,100,100000,onePlusOneEA,{},1350,2702,0.5,0.5,0.5
56,OneMax,100,100000,onePlusOneEA,{},708,1418,0.5,0.5,0.5
57,OneMax,100,100000,onePlusOneEA,{},1044,2090,0.5,0.5,0.5
58,OneMax,100,100000,onePlusOneEA,{},886,1774,0.5,0.5,0.5
59,OneMax,100,100000,onePlusOneEA,{},1449,2900,0.5,0.5,0.5
60,OneMax,100,100000,onePlusOneEA,{},613,1228,0.5,0.5,0.5
61,OneMax,100,100000,onePlusOneEA,{},1212,2426,0.5,0.5,0.5
62,OneMax,100,100000,onePlusOneEA,{},1045,2092,0.5,0.5,0.5
63,OneMax,100,100000,onePlusOneEA,{},980,1962,0.5,0.5,0.5
64,OneMax,100,100000,onePlusOneEA,{},413,828,0.5,0.5,0.5
65,OneMax,100,100000,onePlusOneEA,{},748,1498,0.5,0.5,0.5
66,OneMax,100,100000,onePlusOneEA,{},1058,2118,0.5,0.5,0.5
67,OneMax,100,100000,onePlusOneEA,{},2156,4314,0.5,0.5,0.5
68,OneMax,100,100000,onePlusOneEA,{},1179,2360,0.5,0.5,0.5
69,OneMax,100,100000,onePlusOneEA,{},722,1446,0.5,0.5,0.5
70,OneMax,100,100000,onePlusOneEA,{},492,986,0.5,0.5,0.5
71,OneMax,100,100000,onePlusOneEA,{},865,1732,0.5,0.5,0.5
10042,OneMax,100,100000,cGA,{'k': 50},739,1480,0.9655999999999999,0.01,0.99
10043,OneMax,100,100000,cGA,{'k': 50},593,1187,0.9538000000000001,0.7000000000000002,0.99
10044,OneMax,100,100000,cGA,{'k': 50},483,968,0.9205000000000001,0.5800000000000001,0.99
10045,OneMax,100,100000,cGA,{'k': 50},621,1243,0.9649,0.7600000000000002,0.99
10046,OneMax,100,100000,cGA,{'k': 50},567,1135,0.9571999999999999,0.7400000000000002,0.99
10047,OneMax,100,100000,cGA,{'k': 50},521,1044,0.9486000000000003,0.5800000000000001,0.99
10048,OneMax,100,100000,cGA,{'k': 50},631,1263,0.9696999999999999,0.03,0.99
10049,OneMax,100,100000,cGA,{'k': 50},605,1211,0.9604,0.6400000000000001,0.99
10050,OneMax,100,100000,cGA,{'k': 50},545,1091,0.9529000000000003,0.41999999999999993,0.99
10051,OneMax,100,100000,cGA,{'k': 50},656,1314,0.9601,0.07999999999999984,0.99
10052,OneMax,100,100000,cGA,{'k': 50},636,1274,0.9641000000000001,0.56,0.99
10053,OneMax,100,100000,cGA,{'k': 50},568,1137,0.9497000000000001,0.7000000000000002,0.99
10054,OneMax,100,100000,cGA,{'k': 50},629,1260,0.9621000000000001,0.7200000000000002,0.99
10055,OneMax,100,100000,cGA,{'k': 50},621,1243,0.9620000000000001,0.7400000000000002,0.99
10056,OneMax,100,100000,cGA,{'k': 50},618,1238,0.9545,0.13999999999999985,0.99
10057,OneMax,100,100000,cGA,{'k': 50},594,1189,0.9583000000000002,0.16999999999999998,0.99
10058,OneMax,100,100000,cGA,{'k': 50},644,1290,0.9676,0.7000000000000002,0.99
10059,OneMax,100,100000,cGA,{'k': 50},594,1189,0.9566000000000001,0.5800000000000001,0.99
10060,OneMax,100,100000,cGA,{'k': 50},614,1230,0.9581999999999999,0.3599999999999999,0.99
10061,OneMax,100,100000,cGA,{'k': 50},625,1251,0.9689999999999999,0.5800000000000001,0.99
10062,OneMax,100,100000,cGA,{'k': 50},594,1189,0.9564000000000001,0.56,0.99
10063,OneMax,100,100000,cGA,{'k': 50},550,1102,0.9377,0.05,0.99
10064,OneMax,100,100000,cGA,{'k': 50},577,1156,0.9380000000000002,0.54,0.99
10065,OneMax,100,100000,cGA,{'k': 50},670,1341,0.9702,0.7800000000000002,0.99
10066,OneMax,100,100000,cGA,{'k': 50},710,1422,0.9639,0.2599999999999998,0.99
10067,OneMax,100,100000,cGA,{'k': 50},666,1334,0.9662,0.52,0.99
10068,OneMax,100,100000,cGA,{'k': 50},845,1691,0.9771000000000001,0.05,0.99
10069,OneMax,100,100000,cGA,{'k': 50},604,1209,0.9597000000000001,0.54,0.99
10070,OneMax,100,100000,cGA,{'k': 50},608,1217,0.9624000000000001,0.6000000000000001,0.99
10071,OneMax,100,100000,cGA,{'k': 50},559,1120,0.9598000000000002,0.54,0.99
20042,OneMax,100,100000,sigcGA,{'eps': 0.05},220,441,0.9899999999999999,0.99,0.99
